Location,Impact/Control,Site,Before/After,Year,Time,Habitat,Season,After 1 & 2,Total Abund,Rhabdosargus sarba,Acanthopagrus australis,Pagrus auratus,Site2
Botany Bay,Impact,SC3,Before,1,4/01/2006,SD,Sum,Before,1,0,0,0,AR3
Botany Bay,Impact,SC3,Before,1,12/01/2006,SD,Sum,Before,1,0,0,0,AR3
Botany Bay,Impact,SC3,Before,1,9/02/2006,SD,Sum,Before,0,0,0,0,AR3
Botany Bay,Impact,SC3,Before,1,14/02/2006,SD,Sum,Before,3,0,0,0,AR3
Botany Bay,Impact,SC3,Before,1,25/02/2006,SD,Sum,Before,14,0,0,0,AR3
Botany Bay,Impact,SC3,Before,1,17/03/2006,SD,Aut,Before,11,0,0,0,AR3
Botany Bay,Impact,SC3,Before,1,5/04/2006,SD,Aut,Before,0,0,0,0,AR3
Botany Bay,Impact,SC3,Before,1,18/04/2006,SD,Aut,Before,9,0,0,0,AR3
Botany Bay,Impact,SC3,Before,1,10/05/2006,SD,Aut,Before,1,0,0,0,AR3
Botany Bay,Impact,SC3,Before,1,17/05/2006,SD,Aut,Before,3,0,0,0,AR3
Botany Bay,Impact,SC3,Before,1,31/05/2006,SD,Aut,Before,42,0,0,16,AR3
Lake Macquarie,Impact,SC3,Before,1,30/09/2005,SD,N/A,Before,0,0,0,0,AR3
Lake Macquarie,Impact,SC3,Before,1,11/10/2005,SD,N/A,Before,0,0,0,0,AR3
Lake Macquarie,Impact,SC3,Before,1,27/10/2005,SD,N/A,Before,0,0,0,0,AR3
Lake Macquarie,Impact,SC3,Before,1,3/11/2005,SD,N/A,Before,0,0,0,0,AR3
Lake Macquarie,Impact,SC3,Before,1,9/11/2005,SD,N/A,Before,2,0,2,0,AR3
Lake Macquarie,Impact,SC3,Before,1,29/11/2005,SD,N/A,Before,1,0,0,0,AR3
St Georges Basin,Impact,SC3,Before,1,7/10/2006,SD,N/A,Before,0,0,0,0,AR3
St Georges Basin,Impact,SC3,Before,1,13/10/2006,SD,N/A,Before,2,0,0,0,AR3
St Georges Basin,Impact,SC3,Before,1,12/11/2006,SD,N/A,Before,0,0,0,0,AR3
St Georges Basin,Impact,SC3,Before,1,10/01/2007,SD,N/A,Before,0,0,0,0,AR3
St Georges Basin,Impact,SC3,Before,1,19/01/2007,SD,N/A,Before,0,0,0,0,AR3
St Georges Basin,Impact,SC3,Before,1,20/01/2007,SD,N/A,Before,0,0,0,0,AR3
St Georges Basin,Impact,SC3,Before,1,5/02/2007,SD,N/A,Before,0,0,0,0,AR3
Botany Bay,Impact,SC2,Before,1,4/01/2006,SD,Sum,Before,5,0,0,0,AR2
Botany Bay,Impact,SC2,Before,1,12/01/2006,SD,Sum,Before,8,0,1,6,AR2
Botany Bay,Impact,SC2,Before,1,9/02/2006,SD,Sum,Before,2,0,0,0,AR2
Botany Bay,Impact,SC2,Before,1,14/02/2006,SD,Sum,Before,12,0,0,6,AR2
Botany Bay,Impact,SC2,Before,1,25/02/2006,SD,Sum,Before,6,0,0,0,AR2
Botany Bay,Impact,SC2,Before,1,27/02/2006,SD,Sum,Before,6,0,0,0,AR2
Botany Bay,Impact,SC2,Before,1,17/03/2006,SD,Aut,Before,13,0,0,0,AR2
Botany Bay,Impact,SC2,Before,1,5/04/2006,SD,Aut,Before,8,0,0,0,AR2
Botany Bay,Impact,SC2,Before,1,18/04/2006,SD,Aut,Before,4,0,0,0,AR2
Botany Bay,Impact,SC2,Before,1,10/05/2006,SD,Aut,Before,0,0,0,0,AR2
Botany Bay,Impact,SC2,Before,1,17/05/2006,SD,Aut,Before,54,0,0,0,AR2
Botany Bay,Impact,SC2,Before,1,31/05/2006,SD,Aut,Before,1,0,0,0,AR2
Lake Macquarie,Impact,SC2,Before,1,30/09/2005,SD,N/A,Before,1,0,0,0,AR2
Lake Macquarie,Impact,SC2,Before,1,11/10/2005,SD,N/A,Before,0,0,0,0,AR2
Lake Macquarie,Impact,SC2,Before,1,27/10/2005,SD,N/A,Before,0,0,0,0,AR2
Lake Macquarie,Impact,SC2,Before,1,3/11/2005,SD,N/A,Before,7,2,0,0,AR2
Lake Macquarie,Impact,SC2,Before,1,9/11/2005,SD,N/A,Before,2,0,0,0,AR2
Lake Macquarie,Impact,SC2,Before,1,29/11/2005,SD,N/A,Before,0,0,0,0,AR2
St Georges Basin,Impact,SC2,Before,1,7/10/2006,SD,N/A,Before,0,0,0,0,AR2
St Georges Basin,Impact,SC2,Before,1,13/10/2006,SD,N/A,Before,1,0,0,0,AR2
St Georges Basin,Impact,SC2,Before,1,12/11/2006,SD,N/A,Before,0,0,0,0,AR2
St Georges Basin,Impact,SC2,Before,1,21/12/2006,SD,N/A,Before,1,0,0,0,AR2
St Georges Basin,Impact,SC2,Before,1,22/12/2006,SD,N/A,Before,0,0,0,0,AR2
St Georges Basin,Impact,SC2,Before,1,10/01/2007,SD,N/A,Before,0,0,0,0,AR2
St Georges Basin,Impact,SC2,Before,1,19/01/2007,SD,N/A,Before,1,0,0,0,AR2
St Georges Basin,Impact,SC2,Before,1,20/01/2007,SD,N/A,Before,1,0,1,0,AR2
Botany Bay,Impact,SC1,Before,1,4/01/2006,SD,Sum,Before,5,0,0,1,AR1
Botany Bay,Impact,SC1,Before,1,12/01/2006,SD,Sum,Before,2,0,0,0,AR1
Botany Bay,Impact,SC1,Before,1,9/02/2006,SD,Sum,Before,0,0,0,0,AR1
Botany Bay,Impact,SC1,Before,1,14/02/2006,SD,Sum,Before,3,0,0,1,AR1
Botany Bay,Impact,SC1,Before,1,25/02/2006,SD,Sum,Before,0,0,0,0,AR1
Botany Bay,Impact,SC1,Before,1,27/02/2006,SD,Sum,Before,3,0,0,0,AR1
Botany Bay,Impact,SC1,Before,1,17/03/2006,SD,Aut,Before,1,0,0,0,AR1
Botany Bay,Impact,SC1,Before,1,5/04/2006,SD,Aut,Before,6,0,0,6,AR1
Botany Bay,Impact,SC1,Before,1,18/04/2006,SD,Aut,Before,7,0,1,6,AR1
Botany Bay,Impact,SC1,Before,1,10/05/2006,SD,Aut,Before,19,0,0,19,AR1
Botany Bay,Impact,SC1,Before,1,17/05/2006,SD,Aut,Before,10,0,1,1,AR1
Botany Bay,Impact,SC1,Before,1,31/05/2006,SD,Aut,Before,45,0,0,0,AR1
Lake Macquarie,Impact,SC1,Before,1,30/09/2005,SD,N/A,Before,0,0,0,0,AR1
Lake Macquarie,Impact,SC1,Before,1,11/10/2005,SD,N/A,Before,0,0,0,0,AR1
Lake Macquarie,Impact,SC1,Before,1,27/10/2005,SD,N/A,Before,0,0,0,0,AR1
Lake Macquarie,Impact,SC1,Before,1,3/11/2005,SD,N/A,Before,0,0,0,0,AR1
Lake Macquarie,Impact,SC1,Before,1,9/11/2005,SD,N/A,Before,7,0,0,0,AR1
Lake Macquarie,Impact,SC1,Before,1,29/11/2005,SD,N/A,Before,1,0,1,0,AR1
St Georges Basin,Impact,SC1,Before,1,7/10/2006,SD,N/A,Before,0,0,0,0,AR1
St Georges Basin,Impact,SC1,Before,1,13/10/2006,SD,N/A,Before,0,0,0,0,AR1
St Georges Basin,Impact,SC1,Before,1,12/11/2006,SD,N/A,Before,0,0,0,0,AR1
St Georges Basin,Impact,SC1,Before,1,21/12/2006,SD,N/A,Before,0,0,0,0,AR1
St Georges Basin,Impact,SC1,Before,1,22/12/2006,SD,N/A,Before,2,0,0,0,AR1
St Georges Basin,Impact,SC1,Before,1,10/01/2007,SD,N/A,Before,0,0,0,0,AR1
St Georges Basin,Impact,SC1,Before,1,19/01/2007,SD,N/A,Before,0,0,0,0,AR1
St Georges Basin,Impact,SC1,Before,1,20/01/2007,SD,N/A,Before,1,0,1,0,AR1
Botany Bay,Control,RC3,Before,1,4/01/2006,NR,Sum,Before,0,0,0,0,RC3
Botany Bay,Control,RC3,Before,1,12/01/2006,NR,Sum,Before,5,0,0,5,RC3
Botany Bay,Control,RC3,Before,1,9/02/2006,NR,Sum,Before,17,0,0,0,RC3
Botany Bay,Control,RC3,Before,1,14/02/2006,NR,Sum,Before,1,0,0,0,RC3
Botany Bay,Control,RC3,Before,1,25/02/2006,NR,Sum,Before,76,0,1,0,RC3
Botany Bay,Control,RC3,Before,1,17/03/2006,NR,Aut,Before,32,0,0,7,RC3
Botany Bay,Control,RC3,Before,1,5/04/2006,NR,Aut,Before,70,0,0,0,RC3
